PHASE,CAT,NAME,OPP,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,FO,TO,STL,BLK,+/-,EFF,RES
Group,Single,Iran,Czech Republic,78,31,62,0.5,25,43,0.58,6,19,0.32,10,17,0.59,7,26,33,20,18,21,9,1,-6,79,0
Group,Single,Czech Republic,Iran,84,33,74,0.45,27,44,0.61,6,30,0.2,12,18,0.67,16,27,43,29,17,15,12,2,6,105,1
Group,Single,Germany,Italy,82,30,64,0.47,15,32,0.47,15,32,0.47,7,9,0.78,9,25,34,15,16,14,6,2,-10,84,0
Group,Single,Italy,Germany,92,34,68,0.5,19,37,0.51,15,31,0.48,9,12,0.75,9,26,35,20,15,9,11,4,10,112,1
Group,Single,Australia,Nigeria,84,28,71,0.39,17,47,0.36,11,24,0.46,17,19,0.9,13,31,44,21,20,21,12,1,17,90,1
Group,Single,Nigeria,Australia,67,24,61,0.39,17,37,0.46,7,24,0.29,12,24,0.5,9,29,38,16,22,24,14,7,-17,67,0
Group,Single,France,USA,83,29,62,0.47,21,35,0.6,8,27,0.3,17,24,0.71,9,33,42,18,21,14,5,0,7,90,1
Group,Single,USA,France,76,25,69,0.36,15,37,0.41,10,32,0.31,16,21,0.76,11,25,36,23,25,12,8,4,-7,82,0
Group,Single,Argentina,Slovenia,100,37,83,0.45,32,52,0.61,5,31,0.16,21,25,0.84,7,25,32,20,27,10,12,2,-18,103,0
Group,Single,Slovenia,Argentina,118,42,84,0.5,26,41,0.63,16,43,0.37,18,27,0.67,18,41,59,17,29,19,3,4,18,128,1
Group,Single,Japan,Spain,77,26,64,0.41,15,37,0.41,11,27,0.41,14,18,0.78,8,24,32,20,16,11,7,3,-11,79,0
Group,Single,Spain,Japan,88,36,70,0.51,28,42,0.67,8,28,0.29,8,11,0.73,10,32,42,20,21,11,5,3,11,110,1
Group,Single,Nigeria,Germany,92,34,67,0.51,17,31,0.55,17,36,0.47,7,12,0.58,5,23,28,22,26,18,12,5,-7,101,0
Group,Single,Germany,Nigeria,99,34,63,0.54,22,37,0.59,12,26,0.46,19,23,0.83,8,27,35,19,16,20,6,0,7,102,1
Group,Single,USA,Iran,120,42,76,0.55,23,37,0.62,19,39,0.49,17,18,0.94,7,32,39,34,16,6,10,10,54,168,1
Group,Single,Iran,USA,66,25,67,0.37,16,41,0.39,9,26,0.35,7,13,0.54,12,27,39,17,15,23,3,1,-54,56,0
Group,Single,Italy,Australia,83,33,66,0.5,25,41,0.61,8,25,0.32,9,10,0.9,6,24,30,16,18,7,3,3,-3,92,0
Group,Single,Australia,Italy,86,32,70,0.46,21,39,0.54,11,31,0.35,11,14,0.79,16,28,44,26,18,11,4,4,3,109,1
Group,Single,Czech Republic,France,77,31,58,0.53,23,41,0.56,8,17,0.47,7,16,0.44,7,19,26,24,11,17,11,3,-20,87,0
Group,Single,France,Czech Republic,97,38,68,0.56,25,38,0.66,13,30,0.43,8,10,0.8,11,24,35,27,19,15,9,0,20,119,1
Group,Single,Slovenia,Japan,116,43,80,0.54,28,41,0.68,15,39,0.39,15,22,0.68,17,37,54,27,17,7,5,4,35,148,1
Group,Single,Japan,Slovenia,81,32,77,0.42,20,46,0.43,12,31,0.39,5,9,0.56,9,24,33,15,21,9,5,5,-35,77,0
Group,Single,Spain,Argentina,81,30,57,0.53,20,31,0.65,10,26,0.39,11,15,0.73,3,27,30,17,21,20,10,3,10,88,1
Group,Single,Argentina,Spain,71,26,61,0.43,16,31,0.52,10,30,0.33,9,14,0.64,12,23,35,13,24,24,8,0,-10,61,0
Group,Single,Iran,France,62,21,61,0.34,15,43,0.35,6,18,0.33,14,19,0.74,7,24,31,17,15,15,8,4,-17,60,0
Group,Single,France,Iran,79,31,63,0.49,23,43,0.54,8,20,0.4,9,11,0.82,8,34,42,24,20,16,9,2,17,103,1
Group,Single,Italy,Nigeria,80,28,70,0.4,20,39,0.51,8,31,0.26,16,19,0.84,13,27,40,16,19,11,8,3,9,86,1
Group,Single,Nigeria,Italy,71,25,62,0.4,14,34,0.41,11,28,0.39,10,15,0.67,8,31,39,11,22,19,7,2,-9,67,0
